eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,Anthropogenic
721249,LDG,LDG|LDG-ML,1975,11,3,21,11,19.7,,2.2,47.7,,,,15.0,,2.19,0.214,,1590392|LDG|2.60|mL
721269,LDG,LDG|LDG-ML,1975,11,4,11,46,45.5,,-2.2,47.2,,,,0.0,,2.29,0.214,,1590426|LDG|2.70|mL
721392,LDG,LDG|LDG-ML,1975,11,7,9,13,53.3,,5.0,45.6,,,,5.0,,2.09,0.214,,1590673|LDG|2.50|mL
721397,LDG,LDG|LDG-ML,1975,11,7,10,46,33.9,,-2.8,44.8,,,,20.0,,3.58,0.214,,1590683|LDG|4.00|mL
721502,LDG,LDG|LDG-ML,1975,11,10,7,38,18.3,,5.8,45.9,,,,20.0,,2.09,0.214,,1590887|LDG|2.50|mL
721700,LDG,LDG|LDG-ML,1975,11,13,18,53,44.9,,-4.1,48.4,,,,10.0,,2.19,0.214,,1591297|LDG|2.60|mL
721704,LDG,LDG|LDG-ML,1975,11,13,19,55,16.6,,9.9,44.6,,,,20.0,,3.96,0.284,,1591306|TRI|4.30|ML,1591308|LDG|4.40|mL
721738,LDG,LDG|LDG-ML,1975,11,14,11,7,31.2,,7.1,45.3,,,,5.0,,2.19,0.214,,1591373|LDG|2.60|mL
721745,LDG,LDG|LDG-ML,1975,11,14,15,35,54.2,,-4.5,46.5,,,,10.0,,2.99,0.214,,1591389|LDG|3.40|mL
721746,LDG,LDG|LDG-ML,1975,11,14,15,43,37.7,,-3.9,46.7,,,,10.0,,2.99,0.214,,1591391|LDG|3.40|mL
721830,LDG,LDG|ISC-mb,1975,11,16,13,4,25.4,,10.0,44.6,,,,20.0,,5.11,0.29,,1591559|NEIS|4.90|mb,1591559|NEIS|4.20|MSZ,1591561|MOS|5.20|MB,1591562|ISC|4.80|mb
722001,LDG,LDG|LDG-ML,1975,11,20,13,1,47.6,,5.2,50.0,,,,10.0,,2.19,0.214,,1591904|LDG|2.60|mL
722048,LDG,LDG|LDG-ML,1975,11,21,23,31,35.2,,9.8,44.9,,,,0.0,,2.89,0.214,,1591989|LDG|3.30|mL
722093,LDG,LDG|LDG-ML,1975,11,22,19,13,14.1,,0.1,42.8,,,,10.0,,2.19,0.214,,1592080|LDG|2.60|mL
722147,LDG,LDG|LDG-ML,1975,11,24,15,0,38.9,,-3.7,48.6,,,,5.0,,2.39,0.214,,1592198|LDG|2.80|mL
722173,LDG,LDG|LDG-ML,1975,11,25,6,17,38.3,,7.4,46.3,,,,0.0,,3.58,0.214,,1592242|ZUR|4.00|mL,1592244|LDG|4.00|mL
722190,LDG,LDG|LDG-ML,1975,11,25,17,38,16.7,,-3.8,48.2,,,,5.0,,2.09,0.214,,1592279|LDG|2.50|mL
722208,LDG,LDG|LDG-ML,1975,11,26,7,26,29.0,,6.7,46.8,,,,20.0,,2.09,0.214,,1592313|LDG|2.50|mL,1592314|ZUR|2.70|mL
722228,LDG,LDG|LDG-ML,1975,11,26,19,57,43.4,,7.4,44.4,,,,5.0,,2.19,0.214,,1592362|LDG|2.60|mL
722254,LDG,LDG|LDG-ML,1975,11,27,17,7,9.9,,4.8,51.1,,,,0.0,,2.79,0.214,,1592422|LDG|3.20|mL
722380,LDG,LDG|LDG-ML,1975,11,30,11,18,34.8,,-0.5,43.1,,,,15.0,,2.69,0.214,,1592682|LDG|3.10|mL
722387,LDG,LDG|LDG-ML,1975,11,30,15,58,31.7,,-1.3,45.9,,,,5.0,,2.39,0.214,,1592696|LDG|2.80|mL
720144,LDG,LDG|LDG-ML,1975,12,8,3,19,3.1,,5.3,41.5,,,,0.0,,2.49,0.214,,1588080|LDG|2.90|mL
720162,LDG,LDG|LDG-ML,1975,12,8,15,36,14.2,,7.2,46.6,,,,10.0,,2.39,0.214,,1588106|ZUR|3.20|mL,1588109|LDG|2.80|mL
720166,LDG,LDG|LDG-ML,1975,12,8,18,44,43.6,,-1.0,43.3,,,,0.0,,3.38,0.214,,1588119|LDG|3.80|mL
720168,LDG,LDG|LDG-ML,1975,12,8,19,21,55.9,,-0.9,43.0,,,,5.0,,2.69,0.214,,1588126|LDG|3.10|mL
720172,LDG,LDG|LDG-ML,1975,12,8,21,25,7.5,,-1.1,43.2,,,,10.0,,2.49,0.214,,1588134|LDG|2.90|mL
720369,LDG,LDG|LDG-ML,1975,12,14,1,33,24.2,,-1.0,49.6,,,,0.0,,2.59,0.214,,1588524|LDG|3.00|mL
720947,LDG,LDG|LDG-ML,1975,12,28,2,16,7.8,,0.6,46.5,,,,5.0,,3.18,0.214,,1589715|LDG|3.60|mL
718457,LDG,LDG|LDG-ML,1976,1,1,14,21,31.7,,-0.8,43.2,,,,5.0,,2.79,0.214,,1584221|LDG|3.20|mL
718609,LDG,LDG|LDG-ML,1976,1,4,19,40,19.8,,-1.1,43.4,,,,10.0,,2.09,0.214,,1584585|LDG|2.50|mL
718753,LDG,LDG|LDG-ML,1976,1,8,3,48,30.0,,7.3,44.9,,,,0.0,,2.19,0.214,,1584941|LDG|2.60|mL
