Distance (km) IMT Trellis
vs30measured,True,hypo_depth,10.0,rake,0.0,z1pt0,100.0,vs30,800.0,ztor,5.0,dip,90.0
Magnitude,6.50
PGA
rhypo,rx,rjb,repi,rrup,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
49.0306,48.0000,48.0000,48.0000,48.2597,0.11663520,0.06473404,0.06769193,0.14404568,0.10424211,0.11945140
50.0100,49.0000,49.0000,49.0000,49.2544,0.11414602,0.06290295,0.06587381,0.14122813,0.10164983,0.11663555
50.9902,50.0000,50.0000,50.0000,50.2494,0.11175601,0.06115649,0.06413819,0.13849421,0.09916989,0.11391902
51.9711,51.0000,51.0000,51.0000,51.2445,0.10945951,0.05948934,0.06247990,0.13584009,0.09679524,0.11129691
52.9528,52.0000,52.0000,52.0000,52.2398,0.10725127,0.05789660,0.06089414,0.13326217,0.09451936,0.10876462
53.9351,53.0000,53.0000,53.0000,53.2353,0.10512641,0.05637373,0.05937653,0.13075710,0.09233626,0.10631785
54.9181,54.0000,54.0000,54.0000,54.2310,0.10308041,0.05491654,0.05792300,0.12832172,0.09024037,0.10395255
55.9017,55.0000,55.0000,55.0000,55.2268,0.10110904,0.05352117,0.05652979,0.12595308,0.08822657,0.10166494
56.8859,56.0000,56.0000,56.0000,56.2228,0.09920840,0.05218403,0.05519342,0.12364839,0.08629009,0.09945144
57.8705,57.0000,57.0000,57.0000,57.2189,0.09737482,0.05090179,0.05391067,0.12140503,0.08442652,0.09730871
58.8558,58.0000,58.0000,58.0000,58.2151,0.09560489,0.04967137,0.05267855,0.11922055,0.08263176,0.09523359
59.8415,59.0000,59.0000,59.0000,59.2115,0.09389542,0.04848989,0.05149427,0.11709261,0.08090201,0.09322311
60.8276,60.0000,60.0000,60.0000,60.2080,0.09224342,0.04735469,0.05035524,0.11501902,0.07923373,0.09127446
61.8142,61.0000,61.0000,61.0000,61.2046,0.09064612,0.04626329,0.04925907,0.11299769,0.07762363,0.08938500
62.8013,62.0000,62.0000,62.0000,62.2013,0.08910088,0.04521335,0.04820350,0.11102667,0.07606863,0.08755224
63.7887,63.0000,63.0000,63.0000,63.1981,0.08760525,0.04420271,0.04718643,0.10910409,0.07456587,0.08577379
64.7765,64.0000,64.0000,64.0000,64.1950,0.08615694,0.04322937,0.04620590,0.10722819,0.07311269,0.08404745
