Magnitude - Distance Spectra (km) IMT Trellis
vs30measured,True,hypo_depth,10.0,rake,0.0,z1pt0,100.0,vs30,800.0,ztor,5.0,dip,90.0
Magnitude,5.0,rhypo,11.1803398875,rx,5.0,rjb,5.0,repi,5.0,rrup,7.07106781187
IMT,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
0.28,0.00804794,0.00328672,0.00287462,0.01212951,0.00566782,0.00683487
0.3,0.00764483,0.00318554,0.00277881,0.01183464,0.00552920,0.00644689
0.32,0.00711244,0.00309323,0.00271595,0.01110186,0.00531430,0.00612202
0.34,0.00664613,0.00300881,0.00262285,0.01045490,0.00511153,0.00583209
0.36,0.00614226,0.00293122,0.00252709,0.00987949,0.00491988,0.00557158
0.38,0.00561872,0.00285981,0.00243299,0.00936515,0.00473845,0.00533612
0.4,0.00516334,0.00279359,0.00233751,0.00890197,0.00456648,0.00512216
0.42,0.00472340,0.00262168,0.00222876,0.00831795,0.00435988,0.00484168
0.44,0.00433888,0.00246763,0.00212848,0.00779682,0.00416714,0.00458893
0.46,0.00398727,0.00232888,0.00202619,0.00732940,0.00398695,0.00436010
0.48,0.00366522,0.00220219,0.00193396,0.00690450,0.00381819,0.00415203
0.5,0.00338077,0.00208714,0.00184974,0.00652012,0.00365985,0.00396210
0.55,0.00295386,0.00187081,0.00165303,0.00567660,0.00326893,0.00347114
0.6,0.00275861,0.00169294,0.00151415,0.00500219,0.00293753,0.00307859
0.65,0.00251820,0.00154550,0.00139027,0.00445634,0.00265378,0.00274829
0.7,0.00222687,0.00142046,0.00127198,0.00400421,0.00240874,0.00247413
0.75,0.00192502,0.00131316,0.00117908,0.00362462,0.00219552,0.00221814
0.8,0.00172954,0.00120267,0.00109856,0.00326938,0.00200262,0.00200271
0.85,0.00151430,0.00110736,0.00101792,0.00296746,0.00183377,0.00182674
0.9,0.00136040,0.00102423,0.00094072,0.00270790,0.00168509,0.00167502
0.95,0.00118688,0.00095135,0.00087479,0.00248330,0.00155344,0.00151694
1.0,0.00106212,0.00088700,0.00081307,0.00228748,0.00143630,0.00138078
1.1,0.00092058,0.00073294,0.00071097,0.00197014,0.00122955,0.00114971
1.2,0.00080952,0.00061578,0.00063337,0.00171904,0.00106428,0.00097269
1.3,0.00074403,0.00052462,0.00056803,0.00151641,0.00093004,0.00083983
1.4,0.00064059,0.00045229,0.00050608,0.00135016,0.00081950,0.00073800
1.5,0.00059421,0.00039395,0.00044279,0.00121182,0.00072738,0.00065432
1.6,0.00053054,0.00034890,0.00039932,0.00106793,0.00064000,0.00058291
