Distance (km) Total Standard Deviations Trellis
vs30measured,True,hypo_depth,10.0,rake,0.0,z1pt0,100.0,vs30,800.0,ztor,5.0,dip,90.0
Magnitude,6.50
PGA
rhypo,rx,rjb,repi,rrup,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
93.5361,93.0000,93.0000,93.0000,93.1343,0.64851429,0.83221571,0.71210534,0.56400000,0.56029058,0.67574033
94.5304,94.0000,94.0000,94.0000,94.1329,0.64851429,0.83221571,0.71210534,0.56400000,0.56029496,0.67574033
95.5249,95.0000,95.0000,95.0000,95.1315,0.64851429,0.83221571,0.71210534,0.56400000,0.56029927,0.67574033
96.5194,96.0000,96.0000,96.0000,96.1301,0.64851429,0.83221571,0.71210534,0.56400000,0.56030351,0.67574033
97.5141,97.0000,97.0000,97.0000,97.1288,0.64851429,0.83221571,0.71210534,0.56400000,0.56030768,0.67574033
98.5089,98.0000,98.0000,98.0000,98.1275,0.64851429,0.83221571,0.71210534,0.56400000,0.56031179,0.67574033
99.5038,99.0000,99.0000,99.0000,99.1262,0.64851429,0.83221571,0.71210534,0.56400000,0.56031583,0.67574033
100.4988,100.0000,100.0000,100.0000,100.1249,0.64851429,0.83221571,0.71210534,0.56400000,0.56031982,0.67574033
101.4938,101.0000,101.0000,101.0000,101.1237,0.64851429,0.83221571,0.71210534,0.56400000,0.56032374,0.67574033
102.4890,102.0000,102.0000,102.0000,102.1225,0.64851429,0.83221571,0.71210534,0.56400000,0.56032760,0.67574033
103.4843,103.0000,103.0000,103.0000,103.1213,0.64851429,0.83221571,0.71210534,0.56400000,0.56033140,0.67574033
104.4797,104.0000,104.0000,104.0000,104.1201,0.64851429,0.83221571,0.71210534,0.56400000,0.56033514,0.67574033
105.4751,105.0000,105.0000,105.0000,105.1190,0.64851429,0.83221571,0.71210534,0.56400000,0.56033883,0.67574033
106.4707,106.0000,106.0000,106.0000,106.1179,0.64851429,0.83221571,0.71210534,0.56400000,0.56034247,0.67574033
107.4663,107.0000,107.0000,107.0000,107.1168,0.64851429,0.83221571,0.71210534,0.56400000,0.56034605,0.67574033
108.4620,108.0000,108.0000,108.0000,108.1157,0.64851429,0.83221571,0.71210534,0.56400000,0.56034958,0.67574033
109.4578,109.0000,109.0000,109.0000,109.1146,0.64851429,0.83221571,0.71210534,0.56400000,0.56035306,0.67574033
110.4536,110.0000,110.0000,110.0000,110.1136,0.64851429,0.83221571,0.71210534,0.56400000,0.56035648,0.67574033
