eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
1002927,GUTE,1937,7,19,19,35,24.0,nan,-76.5,-1.5,nan,nan,nan,190.0,nan,7.0999999999999996,0.20000000000000001,
1002958,GUTE,1937,9,24,2,40,7.0,nan,-76.0,9.0,nan,nan,nan,100.0,nan,5.5,0.20000000000000001,
1003014,GUTE,1938,1,16,21,41,47.0,nan,-75.0,-6.0,nan,nan,nan,100.0,nan,6.0,0.20000000000000001,
1003026,GUTE,1938,2,5,2,23,34.0,nan,-76.25,4.5,nan,nan,nan,160.0,nan,7.0,0.20000000000000001,
1003061,GUTE,1938,5,2,23,40,25.0,nan,-75.0,7.5,nan,nan,nan,100.0,nan,5.7999999999999998,0.20000000000000001,
1003271,GUTE,1939,6,18,16,46,5.0,nan,-83.0,10.0,nan,nan,nan,70.0,nan,6.5,0.20000000000000001,
1003326,GUTE,1939,10,14,6,2,18.0,nan,-64.0,10.5,nan,nan,nan,35.0,nan,5.5999999999999996,0.20000000000000001,
1003330,GUTE,1939,10,20,20,6,2.0,nan,-83.0,8.0,nan,nan,nan,35.0,nan,6.0,0.20000000000000001,
1003350,GUTE,1939,11,28,2,9,56.0,nan,-78.5,8.75,nan,nan,nan,80.0,nan,5.7999999999999998,0.20000000000000001,
1003365,GUTE,1939,12,24,22,27,40.0,nan,-71.0,-6.5,nan,nan,nan,600.0,nan,5.5,0.20000000000000001,
1003422,GUTE,1940,5,4,16,44,30.0,nan,-81.0,-6.5,nan,nan,nan,35.0,nan,5.5999999999999996,0.20000000000000001,
1003424,GUTE,1940,5,5,2,3,42.0,nan,-80.0,-7.0,nan,nan,nan,35.0,nan,6.0,0.20000000000000001,
1003452,GUTE,1940,6,23,18,59,33.0,nan,-68.0,10.0,nan,nan,nan,35.0,nan,5.5999999999999996,0.20000000000000001,
1003519,GUTE,1940,10,23,2,23,15.0,nan,-76.0,-2.0,nan,nan,nan,140.0,nan,6.0,0.20000000000000001,
1003569,GUTE,1941,1,24,5,44,3.0,nan,-76.75,-3.25,nan,nan,nan,120.0,nan,6.5,0.20000000000000001,
1003574,GUTE,1941,2,2,23,38,32.0,nan,-77.5,6.0,nan,nan,nan,35.0,nan,5.5999999999999996,0.20000000000000001,
1003596,GUTE,1941,3,10,4,5,42.0,nan,-80.75,7.5,nan,nan,nan,35.0,nan,5.5999999999999996,0.20000000000000001,
1003675,GUTE,1941,7,11,1,16,29.0,nan,-82.5,5.0,nan,nan,nan,35.0,nan,6.2000000000000002,0.20000000000000001,
1003759,ISC-GEM,1941,12,5,20,47,4.9800000000000004,nan,-83.456999999999994,8.3960000000000008,8.6999999999999993,6.7000000000000002,57.600000000000001,20.0,9.8000000000000007,7.2599999999999998,0.20000000000000001,
1003769,GUTE,1942,1,8,15,12,31.0,nan,-78.5,-6.0,nan,nan,nan,110.0,nan,6.0,0.20000000000000001,
1003787,GUTE,1942,5,6,22,50,13.0,nan,-65.0,10.0,nan,nan,nan,35.0,nan,6.0,0.20000000000000001,
